Author,Title,Review,Rating,Dates,Restaurant
"Steve PKuala Lumpur, Malaysia",Top quality food,"We were recommended Bulldog by our hotel when we said we wanted to try authentic Nyonya style dishes. The atmosphere at Bulldog is modern and so was the food presentation. I'm not an expert on Nyonya cuisine so I can't tell you how really authentic it was - but I just don't care really! They suggested we try the set sharing menu and made our choices and then food arrived. The spices were balanced and delicious, the whole menu made sense and we couldn't decide what our favourite dishes were - there were several contenders for favourite! The service was great, the food was even better, prices were good - this is definitely a place worth checking out.Show less",5,Reviewed 21 October 2020 ,Bulldog
AnginAir,Excellent ,"Excellent service! I don’t recall top notch service for a long time. 

Food was great. But my favourite is the cendol! Ice well shaved! Not easy to find good cendol with pure gula Melaka. 

Overall, I like the whole atmosphere. Minimalist  with a nice bar.",5,Reviewed 26 September 2020 ,Bulldog
"SolaranceSShah Alam, Malaysia",Tried the best by the people,"It’s a nice place to go... service was ok too... atmosphere wise, comfortable~Let’s start with the food.. my boyfriend and I prompt for the set for 2 that contains one fish, 1 veggie, 1 chicken dish and rice.The veggie... I decided to go for ladies fingers with Belacan... nothing to shout out about.. it’s just tasty The second dish was the chicken and wow it tasted surprisingly good... could use a bit more flavouring but it’s good. The chicken was so tender that I believe they either steam it long or they used a pressure cooker for the chicken. Either way, the texture was a winner!Finally, I believe this was the best of the best... the Jacket Fried Fish... was phenomenal. Crunchy yet soft. Flavour was perfect and surprise, more belacan INSIDE the fish Overall, I’d say this a quite a decent place to eat... my only advice, make more veggie dishes please Show less",4,Reviewed 6 September 2020 ,Bulldog
tree5,Not a typical Nyonya Cuisine Restaurant,"menu might be limited but everything on menu are must-try nyonya dishes for new taster, eg paitee, popiah, cendol, ikan sumbat etc.

nice atmosphere, and stylish decoration too",4,Reviewed 27 July 2020 ,Bulldog
Nisha3801,Delicious Nonya food and v,Delicious Nonya food and v friendly service. The flavours were all very delicate. Do book some of their popular dishes in advance. Highly recommend you try this restaurant.,4,Reviewed 26 July 2020 ,Bulldog
"Deborah JNewbury, United Kingdom",Excellent ,"Found this restaurant by chance as went for a short walk, then realised I’d read great great reviews about it. Had an excellent meal here. Portions are generous and the flavours just wonderful, when they say spicy they mean spicy, but there are non spicy dishes on the menu. Really enjoyable meal, modern cooking, great service.Show less",5,Reviewed 7 March 2020 ,Bulldog
Cookiemonster8833,Great food and service,"Recommended by an aunt so dropped by this hip joint 15mins away from Casa Del Rio.
Chendol, brinjal and ayam limau purut was awesome. Service was also great throughout.",5,Reviewed 5 March 2020 ,Bulldog
jakeflo,Nice surrounding,"Just go to Bulldog in the evening with the kids when the band is playing. Joy and her bad are fantastic . They sing all the oldies. The drummer is awesome especially with the music of Santana ""Black Magic Woman"". Drinks are reasonable and the kids will love their hot chocolate. The place is ""NO SMOKING"" which are good for non smokers and the kids.Show less",5,Reviewed 27 February 2020 ,Bulldog
"RTWvisitsLondon, United Kingdom",Excellent Casual Dining,"The food was very well cooked, had excellent flavours and thoroughly enjoyable. The staff were excellent too - friendly, helpful and attentive. This restaurant is very close to the Majestic hotel if you are staying there and need good food within a few minutes walk. Highly recommended. Show less",5,Reviewed 23 February 2020 ,Bulldog
"BenYorkieKuala Lumpur, Malaysia",Totally Enjoyed,My wife and I went for a Valentine dinner - picked this place from the TripAdvisor information.Totally enjoyed the fixed menu - the ambience - the warm and friendly service. And the prices.Food was all very tasty and well cooked and very nicely presented.A good place indeed - a cut above many other Melaka eateries.Show less,4,Reviewed 18 February 2020 ,Bulldog
Liketotravel30,Contemporary. Vibes,"Smaller portions to share, some non spicy food, but mostly spicy. No wine and very limited liquor. They were out of several dishes when we got there at 7:45 pm. Great service",4,Reviewed 18 February 2020 ,Bulldog
Coprolite54,First rate,"Had an excellent meal here last night. Well run establishment , good food selection and attentive service. Would highly recommend.",5,Reviewed 15 February 2020 ,Bulldog
"jieyip2017Kuala Lumpur, Malaysia",Highly recommended for authentic nyonya food.,"We came here with a recommendation by a local friend. The nyonya food and services were superb! We were here for lunch, nyonya laksa was so tasty! Authentic gula melacca cendol~ impressive. I was worried about the parking, as it’s located at the main street. We found a RM5 public parking area around the corner of the restaurant, 2min walking distance. Show less",5,Reviewed 1 February 2020 ,Bulldog
265teresad,Best restaurant in Melaka,"Best restaurant in Melaka so far, taste very  intense and nice. Suitable for chilli lovers. Sambal Udang is Super nice with steam hot rice. I love it so much.",5,Reviewed 31 January 2020 ,Bulldog
PSurretUnited Kingdom,Delicious food. Great service,"Delicious food.We decided on this restaurant based on the reviews and we loved it too. professional service, good sour plum juice, and amazing Nyonya dishes, which were very nicely presented.The manager was very efficient, all the waiters/waitresses were good and whoever is the person who cooks in the kitchen is excellent. We’ll be back before we leave Malacca. Show less",5,Reviewed 28 January 2020 ,Bulldog
"marcwatton1London, United Kingdom",Great place slightly outside the crafty old teen,We found this place via TripAdvisor and were not disappointed. Service was prompt and appropriate clearing thy table when needed. The food was cleverly presented and delicious. They added service but the owner assured me it went to the staff so we didn’t quibble. Glad we tried this restaurantShow less,5,Reviewed 28 January 2020 ,Bulldog
"RoulNaserMelaka, Malaysia",So sedap!,"They are just stones away from our favorite place, Sambal & Style. We enjoyed the cozy ambiance, as well as their flavorful baba nyonya cuisines. Their Cencaru Sumbat, Sambal Sotong, Ikan Bilis Goreng and stir-fried bendi are to die for! You shall end your meal with their ever famous cendol with gula melaka, i think the best in Melaka! We are definitely gonna again and again soon!Show less",5,Reviewed 18 January 2020 ,Bulldog
waitui2019,Great stop!,"Went there for dessert only and it was great!
Shame they ran out of ingredients to make an order of six ..",4,Reviewed 10 January 2020 ,Bulldog
"last0nimneTulsa, Oklahoma",An excellent selection of Baba Nyanya delights ,An excellent selection of Baba Nyanya cuisine. Service from Tal was beyond perfect. She and one other waitress somehow served a full restaurant and made everyone happy. Each time she was at our table we were treated like we were the only table in the restaurant. She patiently described every dish (successfully explaining why I should NOT order the smelly beans because the oder was distinctly “human poo”) and frequently inquired how we were doing. Food was amazing. No wine on offer but can be purchased by braving heavy traffic and purchasing at the 7/11 across the busy street and paying 60R per bottle corkage. Reservation suggested. Show less,5,Reviewed 9 January 2020 ,Bulldog
Tntvern,Gastronomic affair,"Fantastic local delights. Order the dishes and gobble down with rice. To die for!! Burrppp!!
Stay on for the alcohol and enjoy the environment too.",5,Reviewed 26 December 2019 ,Bulldog
Alre_Rin,Great place to hangout,"Food is great, ambience is relaxing and when we came a couple of times, they had live performance. Will definitely come back.",5,Reviewed 21 December 2019 ,Bulldog
"A DSingapore, Singapore",Wow what a find!,"We (me, husband, brother and his wife) wanted to have dinner at a coffee shop round the corner of the hotel we were staying at. Finding it closed we 'mooched' around and saw Bulldog Restaurant. What a find!They serve mainly Peranakan dishes. If you are confused and not sure of what to order, their menu does have 'sets' for different party size. We ordered a set and were seriously impressed with the food. Taste and plating was well done.All I can say is that all the dishes we had were delicious and, for me, the brinjal and fried fish dishes were just the way my mum use to do it. So a bit like home away from home.Staff were very pleasant and welcoming. Definitely going back again when we next visit MelakaShow less",5,Reviewed 15 December 2019 ,Bulldog
eddyphdhong,wonderful x wonderful ,here i tasted wonderful taste. beef. chicken. laksa noodle. perfect!! yes it’s here. traditional foods + modern interior made me happy. kalamanci juice is world best.,5,Reviewed 12 December 2019 ,Bulldog
"kmquekSingapore, Singapore",Fantastic Peranakan food!,Fantastic Peranakan food! Really delicious and has a distinct class to the way it is prepared. Servings are tapas like in smaller portions but the quality is good and a little like fine dining. We throughly enjoyed eating here and will come back again. Tal and her team have good service.Show less,5,Reviewed 24 November 2019 ,Bulldog
